time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
lexifi-g2pp,1001736.,0.,1001736.,0.,1001736.,0.,902422.,0.,902335.,0.
menhir-fancy,3971787.,0.,3971819.,0.,3971819.,0.,3274604.,0.,3274517.,0.
menhir-list-errors,3971787.,0.,3971819.,0.,,,,,3274517.,0.
menhir-sql,3971787.,0.,3971819.,0.,3971819.,0.,3274604.,0.,3274517.,0.
menhir-standard,3971787.,0.,3971819.,0.,3971819.,0.,3274604.,0.,3274517.,0.
menhir-sysver,3971787.,0.,3971819.,0.,,,,,3274517.,0.
minilight,1615920.,0.,1615920.,0.,1615920.,0.,1337413.,0.,1337342.,0.
numal-durand-kerner-aberth,953621.,0.,953621.,0.,953621.,0.,844509.,0.,844422.,0.
numal-fft,821121.,0.,821121.,0.,821121.,0.,746113.,0.,746026.,0.
numal-k-means,13645391.,0.,13645391.,0.,13645391.,0.,8398807.,0.,8398720.,0.
numal-levinson-durbin,539542.,0.,539542.,0.,539542.,0.,503338.,0.,503251.,0.
numal-lu-decomposition,1529305.,0.,1529305.,0.,1529305.,0.,1210873.,0.,1210786.,0.
numal-naive-multilayer,1225322.,0.,1225322.,0.,1225322.,0.,1074920.,0.,1074833.,0.
numal-qr-decomposition,1025499.,0.,1025499.,0.,1025499.,0.,918819.,0.,918732.,0.
numal-rnd_access,517388.,0.,517388.,0.,517388.,0.,458110.,0.,458023.,0.
numal-simple_access,423471.,0.,423471.,0.,423471.,0.,387771.,0.,387684.,0.
patdiff,,,,,,,18398582.,0.,,
sauvola-contrast,,,,,,,,,1935177.,0.
sequence,953978.,0.,953978.,0.,953978.,0.,859450.,0.,859363.,0.
sequence-cps,768825.,0.,768825.,0.,768825.,0.,704281.,0.,704194.,0.
setrip,1368581.,0.,1368581.,0.,1368581.,0.,1168042.,0.,1167971.,0.
setrip-smallbuf,1368581.,0.,1368581.,0.,1368581.,0.,1168042.,0.,1167971.,0.

code_size,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,606068.,0.,606068.,0.,606068.,0.,528172.,0.,528085.,0.
bdd,638145.,0.,638145.,0.,638145.,0.,554433.,0.,554346.,0.
cpdf-merge,3570136.,0.,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-reformat,3570136.,0.,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-squeeze,3570136.,0.,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-transform,3570136.,0.,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
frama-c-deflate,,,,,,,,,10199177.,0.
frama-c-idct,,,,,,,,,10199177.,0.
jsontrip-sample,1288011.,0.,1288011.,0.,1288011.,0.,1061560.,0.,1061489.,0.
kb,667682.,0.,667682.,0.,667682.,0.,583570.,0.,583483.,0.
kb-no-exc,670937.,0.,670937.,0.,670937.,0.,586625.,0.,586538.,0.
lexifi-g2pp,768420.,0.,768420.,0.,768420.,0.,664514.,0.,664427.,0.
menhir-fancy,2938139.,0.,2938139.,0.,2938139.,0.,2371292.,0.,2371205.,0.
menhir-list-errors,2938139.,0.,2938139.,0.,,,,,2371205.,0.
menhir-sql,2938139.,0.,2938139.,0.,2938139.,0.,2371292.,0.,2371205.,0.
menhir-standard,2938139.,0.,2938139.,0.,2938139.,0.,2371292.,0.,2371205.,0.
menhir-sysver,2938139.,0.,2938139.,0.,,,,,2371205.,0.
minilight,1261384.,0.,1261384.,0.,1261384.,0.,1014229.,0.,1014158.,0.
numal-durand-kerner-aberth,743953.,0.,743953.,0.,743953.,0.,634409.,0.,634322.,0.
numal-fft,636189.,0.,636189.,0.,636189.,0.,553325.,0.,553238.,0.
numal-k-means,11005995.,0.,11005995.,0.,11005995.,0.,7160195.,0.,7160108.,0.
numal-levinson-durbin,332978.,0.,332978.,0.,332978.,0.,283830.,0.,283743.,0.
numal-lu-decomposition,1145461.,0.,1145461.,0.,1145461.,0.,891973.,0.,891886.,0.
numal-naive-multilayer,874206.,0.,874206.,0.,874206.,0.,733420.,0.,733333.,0.
numal-qr-decomposition,759351.,0.,759351.,0.,759351.,0.,652015.,0.,651928.,0.
numal-rnd_access,405448.,0.,405448.,0.,405448.,0.,336426.,0.,336339.,0.
numal-simple_access,330827.,0.,330827.,0.,330827.,0.,282055.,0.,281968.,0.
patdiff,,,,,,,14145694.,0.,,
sauvola-contrast,,,,,,,,,1451769.,0.
sequence,742774.,0.,742774.,0.,742774.,0.,643206.,0.,643119.,0.
sequence-cps,593781.,0.,593781.,0.,593781.,0.,519461.,0.,519374.,0.
setrip,1068285.,0.,1068285.,0.,1068285.,0.,882298.,0.,882227.,0.
setrip-smallbuf,1068285.,0.,1068285.,0.,1068285.,0.,882298.,0.,882227.,0.

data_size,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,185956.,0.,185956.,0.,185956.,0.,194356.,0.,194356.,0.
bdd,186532.,0.,186532.,0.,186532.,0.,194196.,0.,194196.,0.
cpdf-merge,1855832.,0.,1855832.,0.,1855832.,0.,1790856.,0.,1790824.,0.
cpdf-reformat,1855832.,0.,1855832.,0.,1855832.,0.,1790856.,0.,1790824.,0.
cpdf-squeeze,1855832.,0.,1855832.,0.,1855832.,0.,1790856.,0.,1790824.,0.
cpdf-transform,1855832.,0.,1855832.,0.,1855832.,0.,1790856.,0.,1790824.,0.
frama-c-deflate,,,,,,,,,3961904.,0.
frama-c-idct,,,,,,,,,3961904.,0.
jsontrip-sample,368968.,0.,368968.,0.,368968.,0.,344720.,0.,344720.,0.
kb,195940.,0.,195940.,0.,195940.,0.,204148.,0.,204148.,0.
kb-no-exc,196676.,0.,196676.,0.,196676.,0.,204852.,0.,204852.,0.
lexifi-g2pp,233316.,0.,233316.,0.,233316.,0.,237908.,0.,237908.,0.
menhir-fancy,1033648.,0.,1033680.,0.,1033680.,0.,903312.,0.,903312.,0.
menhir-list-errors,1033648.,0.,1033680.,0.,,,,,903312.,0.
menhir-sql,1033648.,0.,1033680.,0.,1033680.,0.,903312.,0.,903312.,0.
menhir-standard,1033648.,0.,1033680.,0.,1033680.,0.,903312.,0.,903312.,0.
menhir-sysver,1033648.,0.,1033680.,0.,,,,,903312.,0.
minilight,354536.,0.,354536.,0.,354536.,0.,323184.,0.,323184.,0.
numal-durand-kerner-aberth,209668.,0.,209668.,0.,209668.,0.,210100.,0.,210100.,0.
numal-fft,184932.,0.,184932.,0.,184932.,0.,192788.,0.,192788.,0.
numal-k-means,2639396.,0.,2639396.,0.,2639396.,0.,1238612.,0.,1238612.,0.
numal-levinson-durbin,206564.,0.,206564.,0.,206564.,0.,219508.,0.,219508.,0.
numal-lu-decomposition,383844.,0.,383844.,0.,383844.,0.,318900.,0.,318900.,0.
numal-naive-multilayer,351116.,0.,351116.,0.,351116.,0.,341500.,0.,341500.,0.
numal-qr-decomposition,266148.,0.,266148.,0.,266148.,0.,266804.,0.,266804.,0.
numal-rnd_access,111940.,0.,111940.,0.,111940.,0.,121684.,0.,121684.,0.
numal-simple_access,92644.,0.,92644.,0.,92644.,0.,105716.,0.,105716.,0.
patdiff,,,,,,,4252888.,0.,,
sauvola-contrast,,,,,,,,,483408.,0.
sequence,211204.,0.,211204.,0.,211204.,0.,216244.,0.,216244.,0.
sequence-cps,175044.,0.,175044.,0.,175044.,0.,184820.,0.,184820.,0.
setrip,300296.,0.,300296.,0.,300296.,0.,285744.,0.,285744.,0.
setrip-smallbuf,300296.,0.,300296.,0.,300296.,0.,285744.,0.,285744.,0.

minor_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1499296.,0.,1499328.,0.,1499312.,0.,11689156.,0.,11689154.,0.
bdd,78092088.,0.,78092092.,0.,78092090.,0.,76776821.,0.,76776856.,0.
cpdf-merge,191149171.,nan,190387747.,nan,186168648.,nan,197536374.,0.,197535883.,0.
cpdf-reformat,444797318.,nan,444797447.,nan,444797388.,nan,448744298.,0.,448744421.,0.
cpdf-squeeze,386787388.,0.,386787517.,0.,386787458.,0.,403639849.,0.,403639819.,0.
cpdf-transform,55783231.,0.,55783392.,0.,55783336.,0.,55760133.,0.,55760053.,0.
frama-c-deflate,,,,,,,,,2473321567.33,74284.7723853
frama-c-idct,,,,,,,,,23799681.,nan
jsontrip-sample,5117399.,0.,5117396.,0.,5117393.,0.,7160787.,0.,7160780.,0.
kb,90482164.,0.,91006978.,0.,90482693.,0.,90578338.,0.,90578323.,0.
kb-no-exc,37609470.,nan,37609474.,nan,37609474.,nan,37503345.,0.,37503337.,0.
lexifi-g2pp,1583340397.,0.,1583340401.,0.,1579408257.,0.,1678613139.,0.,1678613459.,0.
menhir-fancy,1359641.,0.,1359673.,0.,1359670.,0.,2238238.,0.,2238235.,0.
menhir-list-errors,2407885007.,nan,2407885033.,nan,,,,,2535402363.,0.
menhir-sql,1007629231.,nan,1007629243.,nan,1007629239.,nan,1032167599.,0.,1032167255.,0.
menhir-standard,2585248.,0.,2585280.,0.,2585276.,0.,1432106.,0.,1432097.,0.
menhir-sysver,8153521447.,nan,8153522224.,nan,,,,,8344713496.,0.
minilight,9664218203.,0.,9661072537.,0.,9665266779.,0.,9747431709.,0.,9747431685.,0.
numal-durand-kerner-aberth,76667112.,0.,76667116.,0.,76667114.,0.,77414765.,0.,77414786.,0.
numal-fft,274390355.,0.,274390359.,0.,274390357.,0.,264242360.,0.,264242358.,0.
numal-k-means,2563546.,0.,2563666.,0.,2563666.,0.,102494197.,0.,102494197.,0.
numal-levinson-durbin,964969369.,0.,964969373.,0.,964969373.,0.,1000786333.,0.,1000784001.,0.
numal-lu-decomposition,2318857.,0.,2318863.,0.,2318861.,0.,542217441.,0.,542217436.,0.
numal-naive-multilayer,2163946621.,0.,2169189502.,0.,2163946625.,0.,2170639393.,0.,2170639423.,0.
numal-qr-decomposition,1645825049.,0.,1645562912.,0.,1645562910.,0.,1711440719.,0.,1711440705.,0.
numal-rnd_access,1334466.66667,1115129.114,990068.,1322040.77923,1293732.66667,1097406.77277,200003742.571,14831.3726816,200015658.667,1381.88325604
numal-simple_access,227632417.,0.,227632421.,0.,227632419.,0.,640006197.,0.,640006201.,0.
patdiff,,,,,,,36596917.,0.,,
sequence,749670768.,0.,749670793.,0.,749670770.,0.,750492639.,0.,750492812.,0.
sequence-cps,1502243945.,0.,1502243949.,0.,1502243949.,0.,1501298736.,0.,1501299851.,0.
setrip,168203678.,0.,169514388.,0.,169514388.,0.,170650262.,0.,170650322.,0.
setrip-smallbuf,170562989.,0.,171087555.,0.,171087555.,0.,170650237.,0.,170650267.,0.

major_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,975.,0.,981.,0.,979.,0.,941.,0.,939.,0.
bdd,583194.,0.,583198.,0.,583196.,0.,616827.,0.,664841.,0.
cpdf-merge,91785981.,nan,91601903.,nan,90412572.,nan,94605527.,0.,95303277.,0.
cpdf-reformat,75226891.,nan,75226803.,nan,75226835.,nan,76049963.,0.,75793761.,0.
cpdf-squeeze,132492452.,0.,132492385.,0.,132492420.,0.,138741284.,0.,138739074.,0.
cpdf-transform,28027014.,0.,28027020.,0.,28027018.,0.,27860239.,0.,27953626.,0.
frama-c-deflate,,,,,,,,,186980131.,4193.29929769
frama-c-idct,,,,,,,,,2650609.,nan
jsontrip-sample,26463.,0.,26481.,0.,26478.,0.,29441.,0.,29376.,0.
kb,4817857.,0.,4851134.,0.,4817598.,0.,4908177.,0.,4873136.,0.
kb-no-exc,4644408.,nan,4644391.,nan,4644391.,nan,4671664.,0.,4699054.,0.
lexifi-g2pp,266462.,0.,266466.,0.,265899.,0.,280169.,0.,278186.,0.
menhir-fancy,272089.,0.,272105.,0.,272102.,0.,328731.,0.,328749.,0.
menhir-list-errors,1136597025.,nan,1136597006.,nan,,,,,1151389119.,0.
menhir-sql,55248639.,nan,55248638.,nan,55248631.,nan,56164943.,0.,56163401.,0.
menhir-standard,242326.,0.,242342.,0.,242338.,0.,271961.,0.,274012.,0.
menhir-sysver,435451328.,nan,435451292.,nan,,,,,442033173.,0.
minilight,10556471.,0.,10553812.,0.,10557519.,0.,10642310.,0.,10641824.,0.
numal-durand-kerner-aberth,227974.,0.,227971.,0.,227979.,0.,237996.,0.,227630.,0.
numal-fft,139784459.,0.,139784463.,0.,139784461.,0.,140022140.,0.,140272143.,0.
numal-k-means,526355.,0.,526364.,0.,526364.,0.,536219.,0.,536219.,0.
numal-levinson-durbin,240820090.,0.,240820094.,0.,240820094.,0.,250070736.,0.,250064165.,0.
numal-lu-decomposition,4624733.,0.,4624734.,0.,4624732.,0.,7775146.,0.,7775111.,0.
numal-naive-multilayer,1256512.,0.,1259640.,0.,1256522.,0.,1284119.,0.,1282790.,0.
numal-qr-decomposition,2594693.,0.,2594492.,0.,2594502.,0.,2682974.,0.,2693569.,0.
numal-rnd_access,200000215.,0.,200000219.,0.,200000217.,0.,200000141.,0.,200000139.,0.
numal-simple_access,208961133.,0.,208961137.,0.,208961135.,0.,220001889.,0.,220001887.,0.
patdiff,,,,,,,8896447.,0.,,
sequence,37286.,0.,37284.,0.,37288.,0.,37749.,0.,38258.,0.
sequence-cps,201397.,0.,201401.,0.,201401.,0.,214872.,0.,222795.,0.
setrip,13191.,0.,13231.,0.,13231.,0.,13279.,0.,13269.,0.
setrip-smallbuf,13259.,0.,13317.,0.,13317.,0.,13279.,0.,13241.,0.

promoted_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,897.,0.,903.,0.,901.,0.,941.,0.,939.,0.
bdd,444232.,0.,444236.,0.,444234.,0.,477943.,0.,525957.,0.
cpdf-merge,81093930.,nan,81102937.,nan,81048705.,nan,82892080.,0.,83597842.,0.
cpdf-reformat,64637397.,nan,64637309.,nan,64637341.,nan,65460559.,0.,65204357.,0.
cpdf-squeeze,120753140.,0.,120753073.,0.,120753108.,0.,123070655.,0.,123068445.,0.
cpdf-transform,26096995.,0.,26097001.,0.,26096999.,0.,25930310.,0.,26023697.,0.
frama-c-deflate,,,,,,,,,121378207.667,5177.68069055
frama-c-idct,,,,,,,,,2253262.,nan
jsontrip-sample,9989.,0.,10007.,0.,10004.,0.,13053.,0.,12988.,0.
kb,4817779.,0.,4851056.,0.,4817520.,0.,4908177.,0.,4873136.,0.
kb-no-exc,4644330.,nan,4644313.,nan,4644313.,nan,4671664.,0.,4699054.,0.
lexifi-g2pp,266384.,0.,266388.,0.,265821.,0.,280169.,0.,278186.,0.
menhir-fancy,140819.,0.,140835.,0.,140832.,0.,179489.,0.,179507.,0.
menhir-list-errors,417115793.,nan,417115774.,nan,,,,,431254687.,0.
menhir-sql,45544087.,nan,45544086.,nan,45544079.,nan,46172576.,0.,46171034.,0.
menhir-standard,106007.,0.,106023.,0.,106019.,0.,123373.,0.,125424.,0.
menhir-sysver,324378340.,nan,324378418.,nan,,,,,329438589.,0.
minilight,10539667.,0.,10537008.,0.,10540715.,0.,10625592.,0.,10625106.,0.
numal-durand-kerner-aberth,227896.,0.,227893.,0.,227901.,0.,237996.,0.,227630.,0.
numal-fft,134541495.,0.,134541499.,0.,134541497.,0.,134779254.,0.,135029257.,0.
numal-k-means,351080.,0.,351089.,0.,351089.,0.,361022.,0.,361022.,0.
numal-levinson-durbin,33716.,0.,33720.,0.,33720.,0.,47317.,0.,40746.,0.
numal-lu-decomposition,156739.,0.,156740.,0.,156738.,0.,297668.,0.,297633.,0.
numal-naive-multilayer,1256082.,0.,1259210.,0.,1256092.,0.,1283767.,0.,1282438.,0.
numal-qr-decomposition,2594615.,0.,2594414.,0.,2594424.,0.,2682974.,0.,2693569.,0.
numal-rnd_access,136.,0.,140.,0.,138.,0.,140.,0.,138.,0.
numal-simple_access,188961054.,0.,188961058.,0.,188961056.,0.,200001888.,0.,200001886.,0.
patdiff,,,,,,,6522407.,0.,,
sequence,37208.,0.,37206.,0.,37210.,0.,37749.,0.,38258.,0.
sequence-cps,201319.,0.,201323.,0.,201323.,0.,214872.,0.,222795.,0.
setrip,4912.,0.,4952.,0.,4952.,0.,5086.,0.,5076.,0.
setrip-smallbuf,4980.,0.,5038.,0.,5038.,0.,5086.,0.,5048.,0.

top_heap_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,36864.,0.,32768.,0.,32768.,0.,491520.,0.,491520.,0.
bdd,573081.,0.,573081.,0.,573081.,0.,565248.,0.,650240.,0.
cpdf-merge,43087817.,nan,42903778.,nan,41250573.,nan,49650688.,0.,43174400.,0.
cpdf-reformat,30748513.,nan,30736225.,nan,30748513.,nan,32645632.,0.,28387328.,0.
cpdf-squeeze,39039677.,0.,39037390.,0.,39037390.,0.,43174400.,0.,37542912.,0.
cpdf-transform,15729863.,0.,15729863.,0.,15729863.,0.,19150848.,0.,14480384.,0.
frama-c-deflate,,,,,,,,,88571904.,0.
frama-c-idct,,,,,,,,,4685824.,nan
jsontrip-sample,94607.,0.,94607.,0.,94607.,0.,565248.,0.,491520.,0.
kb,442368.,0.,446464.,0.,446464.,0.,587264.,0.,565248.,0.
kb-no-exc,507904.,nan,507904.,nan,507904.,nan,628224.,0.,646656.,0.
lexifi-g2pp,156643.,0.,156643.,0.,152547.,0.,593408.,0.,593408.,0.
menhir-fancy,357664.,0.,357664.,0.,357664.,0.,491520.,0.,491520.,0.
menhir-list-errors,416537958.,nan,399731040.,nan,,,,,616220160.,0.
menhir-sql,48966283.,nan,48188043.,nan,48192139.,nan,49650688.,0.,43174400.,0.
menhir-standard,323978.,0.,323978.,0.,323978.,0.,491520.,0.,491520.,0.
menhir-sysver,95526139.,nan,94239995.,nan,,,,,91529728.,0.
minilight,1106522.,0.,1106522.,0.,1106522.,0.,860672.,0.,748032.,0.
numal-durand-kerner-aberth,49152.,0.,45056.,0.,49152.,0.,565248.,0.,565248.,0.
numal-fft,55193618.,0.,55193618.,0.,55197714.,0.,85220352.,0.,129609728.,0.
numal-k-means,560227.,0.,564323.,0.,564323.,0.,596992.,0.,596992.,0.
numal-levinson-durbin,18155498.,0.,18155498.,0.,18155498.,0.,565248.,0.,565248.,0.
numal-lu-decomposition,4680084.,0.,4675988.,0.,4680084.,0.,8068096.,0.,8068096.,0.
numal-naive-multilayer,74082.,0.,69986.,0.,74082.,0.,565248.,0.,565248.,0.
numal-qr-decomposition,1263373.,0.,1263179.,0.,1263179.,0.,491520.,0.,491520.,0.
numal-rnd_access,200032771.,0.,200032771.,0.,200032771.,0.,360491520.,0.,360491520.,0.
numal-simple_access,209263875.,0.,209259779.,0.,209263875.,0.,224531968.,0.,224531968.,0.
patdiff,,,,,,,3861504.,0.,,
sequence,32768.,0.,36864.,0.,36864.,0.,565248.,0.,565248.,0.
sequence-cps,32768.,0.,32768.,0.,32768.,0.,565248.,0.,565248.,0.
setrip,65539.,0.,65539.,0.,65539.,0.,565248.,0.,565248.,0.
setrip-smallbuf,65539.,0.,65539.,0.,65539.,0.,565248.,0.,565248.,0.

minor_collections,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1.,0.,1.,0.,1.,0.,44.,0.,44.,0.
bdd,291.,0.,291.,0.,291.,0.,294.,0.,295.,0.
cpdf-merge,733.,nan,730.,nan,714.,nan,771.,0.,772.,0.
cpdf-reformat,1694.,nan,1694.,nan,1694.,nan,1726.,0.,1725.,0.
cpdf-squeeze,1476.,0.,1476.,0.,1476.,0.,1561.,0.,1560.,0.
cpdf-transform,214.,0.,214.,0.,214.,0.,221.,0.,220.,0.
frama-c-deflate,,,,,,,,,9450.33333333,0.57735026919
frama-c-idct,,,,,,,,,93.,nan
jsontrip-sample,17.,0.,17.,0.,17.,0.,29.,0.,28.,0.
kb,341.,0.,343.,0.,341.,0.,387.,0.,385.,0.
kb-no-exc,143.,nan,143.,nan,143.,nan,170.,0.,168.,0.
lexifi-g2pp,6038.,0.,6038.,0.,6023.,0.,6407.,0.,6409.,0.
menhir-fancy,5.,0.,5.,0.,5.,0.,9.,0.,9.,0.
menhir-list-errors,9282.,nan,9282.,nan,,,,,9739.,0.
menhir-sql,3867.,nan,3867.,nan,3867.,nan,3966.,0.,3967.,0.
menhir-standard,4.,0.,4.,0.,4.,0.,5.,0.,5.,0.
menhir-sysver,31186.,nan,31186.,nan,,,,,31937.,0.
minilight,36863.,0.,36851.,0.,36867.,0.,37210.,0.,37211.,0.
numal-durand-kerner-aberth,290.,0.,290.,0.,290.,0.,338.,0.,338.,0.
numal-fft,183.,0.,183.,0.,183.,0.,185.,0.,185.,0.
numal-k-means,2.,0.,2.,0.,2.,0.,391.,0.,391.,0.
numal-levinson-durbin,3676.,0.,3676.,0.,3676.,0.,6385.,0.,4885.,0.
numal-lu-decomposition,20.,0.,20.,0.,20.,0.,2098.,0.,2097.,0.
numal-naive-multilayer,8253.,0.,8273.,0.,8253.,0.,8352.,0.,8352.,0.
numal-qr-decomposition,6274.,0.,6273.,0.,6273.,0.,6560.,0.,6552.,0.
numal-rnd_access,1.,0.,1.,0.,1.,0.,763.142857143,0.377964473009,763.,0.
numal-simple_access,866.,0.,866.,0.,866.,0.,2445.,0.,2446.,0.
patdiff,,,,,,,149.,0.,,
sequence,2853.,0.,2853.,0.,2853.,0.,2898.,0.,2931.,0.
sequence-cps,5725.,0.,5725.,0.,5725.,0.,6002.,0.,6176.,0.
setrip,634.,0.,639.,0.,639.,0.,654.,0.,656.,0.
setrip-smallbuf,643.,0.,645.,0.,645.,0.,654.,0.,655.,0.

